Airport Identifier,FBO Name,City,State,0 - Jet A Retail,1 - CAA Price 1-500,2 - CAA Price 501-1000,3 - CAA Price 1001-1500,4 - CAA Price 1501-2000,5 - CAA Price 2001-2500,6 - CAA Price 2501 or more,7 - CAA Price 3501-4500,8 - CAA Price 4501-5500,9 - CAA Price 5501 or more
CYYC,Signature Aviation,,AB,4.86,3.23,3.20,3.17,3.17,3.17,3.14,,,
KBHM,Million Air,Birmingham,AL,7.76,4.93,4.93,4.88,4.88,4.83,4.83,,,
KCMD,Cullman Regional Airport,Vinemont,AL,5.29,4.39,4.24,4.24,4.24,4.24,4.24,,,
KDCU,Pryor Flight Center,Tanner,AL,6.10,4.52,4.52,4.52,4.22,4.22,4.22,,,
KJKA,Gulf Air Center,Gulf Shores,AL,7.36,5.36,5.26,5.16,5.11,4.96,4.86,,,
KTCL,Bama Dixie,Tuscaloosa,AL,4.30,3.85,3.80,3.75,3.70,3.65,3.60,,,
M22,Explore Aviation,Russellville,AL,4.34,3.84,3.84,3.84,3.84,3.84,3.84,,,
KARG,Walnut Ridge Regional Airport,Walnut Ridge,AR,5.40,4.58,4.47,4.35,4.02,4.02,4.02,,,
KCXW,City of Conway,Conway,AR,4.69,4.55,4.42,4.38,4.24,4.24,4.24,,,
KFYV,Fayetteville Aviation Services,Fayetteville,AR,5.55,4.47,4.36,4.25,4.25,4.25,4.25,,,
KROG,Beaver Lake Aviation,Rogers,AR,5.64,4.58,4.58,4.58,4.58,4.58,4.24,,,
KRUE,Russellville Regional Airport,Russellville,AR,4.22,3.89,3.89,3.89,3.89,3.89,3.89,,,
KXNA,"Regional Jet Center, Inc.",Bentonville,AR,5.20,4.49,4.38,4.27,4.10,4.10,4.10,,,
KDVT,Cutter Aviation,Phoenix,AZ,7.72,4.28,4.28,4.16,4.16,4.16,4.16,,,
KFFZ,Cunningham Aviation,Mesa,AZ,6.04,3.66,3.61,3.61,3.56,3.56,3.56,,,
KPGA,"American Aviation, Inc.",Page,AZ,5.55,4.10,4.10,4.10,4.10,4.10,4.10,,,
KPHX,Cutter Aviation,Phoenix,AZ,7.76,3.34,3.34,3.29,3.29,3.29,3.29,,,
KPRC,Cutter Aviation,Prescott,AZ,6.94,4.66,4.54,4.41,4.41,4.41,4.41,,,
KSAD,Spalsbury Aviation,Safford,AZ,5.59,4.54,4.37,4.35,4.32,4.30,4.20,,,
KSDL,Jet Aviation,Scottsdale,AZ,7.25,4.74,4.69,4.64,4.59,4.59,4.59,,,
KTUS,Tucson Jet Center,Tucson,AZ,5.50,3.52,3.47,3.47,3.47,3.37,3.32,,,
CYVR,Million Air,Richmond,BC,6.47,4.62,4.18,4.18,4.04,4.04,4.04,,,
CYXX,Fast Air Jet Centre,Abbotsford,BC,4.60,3.84,3.84,3.84,3.78,3.78,3.78,,,
CZBB,Boundary Bay Air Services,Delta,BC,4.46,3.97,3.82,3.82,3.82,3.82,3.82,,,
KBFL,Bakersfield Jet Center,Bakersfield,CA,6.44,4.27,4.27,4.27,4.27,4.27,4.27,,,
KBUR,Hollywood Burbank Jet Center,Burbank,CA,5.78,4.94,4.87,4.81,4.73,4.67,4.61,,,
KCCR,Concord Jet Center,Concord,CA,5.64,3.78,3.78,3.78,3.78,3.78,3.78,,,
KCMA,Air 7,Camarillo,CA,4.57,3.84,3.84,3.84,3.84,3.84,3.84,,,
KCNO,Flying Tigers Aviation,Chino,CA,5.04,4.04,4.04,4.04,4.04,3.99,3.99,,,
KCRQ,Carlsbad Jet Center,Carlsbad,CA,8.98,4.79,4.79,4.79,4.79,4.79,4.79,,,
KDVO,SkyShare,Novato,CA,6.70,5.20,5.15,5.09,5.09,5.09,5.09,,,
KHHR,Jet Center Los Angeles,Hawthorne,CA,6.92,5.87,5.54,5.43,5.43,5.43,5.43,,,
KHWD,APP JET CENTER-HAYWARD,Hayward,CA,5.99,4.23,4.23,4.23,4.23,4.23,4.23,,,
KMAE,Madera Jet Center,Madera,CA,5.99,4.59,4.53,4.48,4.42,4.42,4.42,,,
KMOD,Modesto Jet Center,Modesto,CA,6.36,5.11,5.00,4.94,4.89,4.78,4.67,,,
KMYF,Crownair Aviation,San Diego,CA,8.51,4.80,4.75,4.69,4.64,4.59,4.53,,,
KOAK,KaiserAir Oakland Jet Center,Oakland,CA,5.89,4.49,4.41,4.35,4.28,4.15,4.08,,,
KOXR,Axis Air,Oxnard,CA,5.15,4.76,4.71,4.66,4.60,4.55,4.49,,,
KSEE,Circle Air Group,San Diego El Cajon,CA,5.89,4.74,4.74,4.74,4.74,4.74,4.74,,,
KSNA,Clay Lacy Aviation,Costa Mesa,CA,5.44,4.58,4.58,4.50,4.50,4.50,4.45,,,
KSNS,gateOne Salinas,Salinas,CA,5.84,5.32,4.97,4.75,4.75,4.75,4.75,,,
KSTS,KaiserAir Santa Rosa Jet Center,Santa Rosa,CA,5.62,4.14,4.08,4.00,3.94,3.87,3.83,,,
KTRM,Desert Jet Center,Thermal,CA,8.32,4.65,4.65,4.54,4.54,4.54,4.54,,,
KUDD,Crown Aero,Bermuda Dunes,CA,7.53,5.25,5.25,5.25,5.25,5.25,5.25,,,
KVNY,Castle & Cooke Aviation,Van Nuys,CA,6.73,4.38,4.38,4.38,4.38,4.38,4.38,,,
KAKO,Hayes Aviation,Akron,CO,5.12,4.12,4.07,4.01,3.96,3.90,3.85,,,
KAPA,jetCenters of Colorado,Englewood,CO,7.05,3.99,3.94,3.89,3.89,3.89,3.89,,,
KBJC,Sheltair,Broomfield,CO,7.46,5.40,5.29,5.19,5.08,4.87,4.72,,,
KCFO,Colorado Air and Space Port,Watkins,CO,6.15,4.73,4.47,4.16,4.16,3.90,3.90,,,
KCOS,Cutter Aviation,Colorado Springs,CO,7.24,3.68,3.68,3.68,3.63,3.63,3.63,,,
KFNL,jetCenters of Colorado,Loveland,CO,6.98,5.27,5.27,5.27,5.27,5.27,5.27,,,
KPUB,Freeman Jet Center,Pueblo,CO,6.58,4.42,4.32,4.32,4.32,4.32,4.32,,,
KBDR,"Three Wing Aviation Group, LLC",Stratford,CT,5.95,4.47,4.36,4.15,4.04,4.04,4.04,,,
KDXR,Reliant Air,Danbury,CT,4.40,3.91,3.91,3.91,3.91,3.91,3.91,,,
KIAD,Atlantic Aviation,Dulles,DC,9.95,6.19,6.19,6.19,6.14,6.14,6.14,,,
KILG,flyADVANCED,New Castle,DE,6.45,4.36,4.36,4.36,4.36,4.36,4.36,,,
KCLW,Fly USA,Clearwater,FL,5.65,3.98,3.98,3.98,3.98,3.98,3.98,,,
KCRG,Sky Harbor Aviation,Jacksonville,FL,6.30,3.64,3.59,3.54,3.54,3.54,3.54,,,
KDAB,Yelvington Jet Aviation,Daytona Beach,FL,6.03,3.89,3.84,3.79,3.77,3.70,3.65,,,
KECP,Sheltair,Panama City,FL,7.22,5.00,5.00,4.75,4.65,4.50,4.35,,,
KFLL,Sheltair,Fort Lauderdale,FL,6.53,3.65,3.63,3.58,3.55,3.50,3.50,,,
KFPR,APP Jet Center,Fort Pierce,FL,5.99,4.29,4.29,4.24,4.24,4.24,4.24,,,
KFXE,Banyan Air Service,Fort Lauderdale,FL,6.36,3.90,3.90,3.85,3.80,3.74,3.74,,,
KISM,Velocity FBO Network,Orlando,FL,6.00,4.47,4.36,4.31,4.26,4.26,4.26,,,
KJAX,Sheltair,Jacksonville,FL,6.56,4.67,4.57,4.47,4.37,4.27,4.22,,,
KLAL,Aero Center Lakeland,Lakeland,FL,6.48,4.35,4.35,4.35,4.35,4.35,4.35,,,
KLNA,Stellar Aviation,Lake Worth,FL,5.59,4.65,4.55,4.55,4.55,4.55,4.55,,,
KMLB,Sheltair,Melbourne,FL,6.24,5.00,4.90,4.80,4.70,4.60,4.50,,,
KOPF,Fontainebleau Aviation,Opa Locka,FL,7.54,3.90,3.79,3.68,3.58,3.58,3.58,,,
KORL,Sheltair,Orlando,FL,6.79,4.68,4.58,4.48,4.38,4.38,4.38,,,
KPBI,Jet Aviation,West Palm Beach,FL,8.90,4.69,4.64,4.59,4.54,4.48,4.48,,,
KPIE,Sheltair,Clearwater,FL,6.65,4.76,4.71,4.71,4.61,4.51,4.51,,,
KPNS,"Pensacola Aviation Center, LLC",Pensacola,FL,7.15,5.07,5.07,5.07,5.07,5.07,5.07,,,
KSFB,Million Air,Sanford,FL,6.72,4.62,4.52,4.47,4.42,4.42,4.42,,,
KSRQ,Ascension FBO Network,Sarasota,FL,7.14,4.57,4.51,4.46,4.41,4.35,4.24,,,
KSUA,APP Jet Center Stuart,Stuart,FL,6.79,4.36,4.36,4.31,4.31,4.24,4.24,,,
KTLH,Million Air,Tallahassee,FL,5.08,4.83,4.78,4.73,4.68,4.63,4.58,,,
KTMB,Reliance Aviation,Miami,FL,5.79,3.55,3.55,3.55,3.55,3.55,3.55,,,
KTPA,Sheltair,Tampa,FL,7.41,4.85,4.74,4.68,4.62,4.50,4.32,,,
KVDF,Skyport Aviation,Tampa,FL,7.52,4.82,4.70,4.59,4.59,4.59,4.59,,,
KVNC,Skyport Aviation,Venice,FL,7.20,4.80,4.70,4.60,4.60,4.60,4.60,,,
KVQQ,Million Air,Jacksonville,FL,7.54,4.82,4.77,4.72,4.72,4.72,4.72,,,
KVRB,"Sun Aviation, Inc.",Vero Beach,FL,6.60,3.70,3.70,3.70,3.70,3.70,3.70,,,
